page	url	status	final_url	status_ok	final_url_ok	canonical	canonical_ok	schema_script_count	schema_parse_errors	schema_types_found	missing_schema_types	schema_entity_issues	media_evidence_issues	affiliate_disclosure_found	medical_limit_found	missing_content_markers	missing_required_links	forbidden_public_markers	overall_pass
Mattress Lab	https://simplyrest.com/mattress-lab/	404	https://simplyrest.com/mattress-lab/	no	yes		no	1	0	BreadcrumbList; ListItem; Organization; WebPage; WebSite	Article; FAQPage; Person	Breadcrumb terminal URL mismatch; WebPage @id mismatch; WebPage url mismatch; missing FAQPage node; missing Person node		no	no	Simply Rest Lab; Firdous; Ferdie; lead hands-on tester	https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/ferdie-farhad/; https://simplyrest.com/mattress-reviews/		no
How We Test Mattresses	https://simplyrest.com/how-we-test-mattresses/	404	https://simplyrest.com/how-we-test-mattresses/	no	yes		no	1	0	BreadcrumbList; ListItem; Organization; WebPage; WebSite	Article; FAQPage; Person	Breadcrumb terminal URL mismatch; WebPage @id mismatch; WebPage url mismatch; missing FAQPage node; missing Person node		no	no	How We Test Mattresses; pressure relief; spinal alignment; motion isolation; edge support	https://simplyrest.com/how-we-test-mattresses/		no
Ferdie Farhad	https://simplyrest.com/ferdie-farhad/	404	https://simplyrest.com/ferdie-farhad/	no	yes		no	1	0	BreadcrumbList; ListItem; Organization; WebPage; WebSite	ProfilePage; Person; FAQPage	Breadcrumb terminal URL mismatch; missing FAQPage node; missing Person node; missing ProfilePage node		no	no	Firdous; lead hands-on tester	https://simplyrest.com/how-we-test-mattresses/		no
Mattress Reviews Hub	https://simplyrest.com/mattress-reviews/	200	https://simplyrest.com/mattress-reviews/	yes	yes		no	1	0	BreadcrumbList; CollectionPage; ListItem; Organization; WebSite	ItemList; FAQPage; Person	Breadcrumb terminal URL mismatch; missing FAQPage node; missing ItemList node; missing Person node		no	no	Simply Rest Lab; Amerisleep AS3	https://simplyrest.com/mattress-reviews/amerisleep-as3/; https://simplyrest.com/how-we-test-mattresses/	It seems we can	no
Amerisleep AS3 Review	https://simplyrest.com/mattress-reviews/amerisleep-as3/	200	https://simplyrest.com/best-online-mattress/	yes	no	https://simplyrest.com/best-online-mattress/	no	1	0	; BreadcrumbList; ListItem; Person	WebPage; Review; Product; Article; FAQPage; Organization	Breadcrumb terminal URL mismatch; missing FAQPage node; missing Organization node; missing Person node; missing Product node; missing Review node; missing WebPage node	AS3 has fewer than 3 video blocks/assets: 0	no	no	Simply Rest Lab Score; Testing Evidence; Ferdie	https://simplyrest.com/how-we-test-mattresses/	/best-online-mattress/	no
