status	artifact	check	detail
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row10	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row10	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row10	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row10	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row11	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row11	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row11	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row11	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row11	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row11	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row11	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row12	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row12	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row12	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row12	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row12	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row12	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row12	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row13	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row13	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row13	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row13	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row13	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row13	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row13	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row14	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row14	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row14	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row14	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row14	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row14	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row14	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row15	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row15	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row15	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row15	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row15	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row15	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row15	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row16	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row16	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row16	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row16	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row16	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row16	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row16	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row17	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row17	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row17	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row17	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row17	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row17	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row17	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row18	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row18	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row18	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row18	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row18	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row18	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row18	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row19	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row19	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row19	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row19	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row19	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row19	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row19	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row20	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row20	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row20	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row20	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row20	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row20	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row20	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row21	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row21	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row21	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row21	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row21	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row21	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row21	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row22	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row22	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row22	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row22	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row22	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row22	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row22	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row23	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row23	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row23	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row23	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row23	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row23	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row23	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row24	Overall valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row24	Value valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row24	Edge Support valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row24	Trial Period valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row24	Response Time valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row24	Motion Transfer valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv:row24	Cooling & Breathability valid	1-10 score
pass	simplyrest-mattress-scoring-matrix-2026-06-25.json	json parity	JSON row count matches TSV
pass	simplyrest_phase1_wp_cli_import.php	score database table	Lab page includes score database
pass	simplyrest_phase1_wp_cli_import.php	AS3 visible score	AS3 page shows 10/10
pass	simplyrest_phase1_wp_cli_import.php	AS3 review rating	Review schema ratingValue is 10
pass	simplyrest-official-source-content-pack-2026-06-25.zip	zip integrity	all files readable
pass	simplyrest-official-source-content-pack-2026-06-25.zip	required source files	official source evidence files present
pass	simplyrest-official-source-content-pack-summary-2026-06-25.tsv	content row count	46 rows
pass	simplyrest-official-source-content-pack-summary-2026-06-25.tsv	fact row count	42 rows
pass	simplyrest-official-source-content-pack-summary-2026-06-25.tsv	remaining QA row count	32 rows
pass	simplyrest-official-source-content-pack-summary-2026-06-25.tsv	placeholder scan	0 placeholder rows after official-source update
pass	simplyrest-official-source-content-pack-summary-2026-06-25.md	publish gate markers	required source-pack gates present
warn	simplyrest-phase1-static-preview-2026-06-25	static preview directory	missing; regenerate before visual QA
