step	status	exit_code	command	detail
phase_one_package_qa	fail	1	C:\Users\ahmed\AppData\Local\Python\pythoncore-3.14-64\python.exe -B C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest_phase1_package_qa.py --output C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-package-qa-report-2026-06-25.tsv --skip-local-readiness-report	FAIL: 3 hard package QA failure(s). Report: C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-package-qa-report-2026-06-25.tsv
retrofit_package_qa	pass	0	C:\Users\ahmed\AppData\Local\Python\pythoncore-3.14-64\python.exe -B C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest_retrofit_package_qa.py --output C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-retrofit-package-qa-report-2026-06-25.tsv	PASS: retrofit package QA passed. Report: C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-retrofit-package-qa-report-2026-06-25.tsv
phase_one_live_qa	blocker	1	C:\Users\ahmed\AppData\Local\Python\pythoncore-3.14-64\python.exe C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest_phase1_live_qa_checker.py --output C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-live-qa-report-2026-06-25.tsv	Wrote C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-live-qa-report-2026-06-25.tsv Pages checked: 5 Failures: 5 - Mattress Lab: status=404 final=https://simplyrest.com/mattress-lab/ pass=no - How We Test Mattresses: status=404 final=https://simplyrest.com/how-we-test-mattresses/ pass=no - Ferdie Farhad: status=404 final=https://simplyrest.com/ferdie-farhad/ pass=no - Mattress Reviews Hub: status=200 final=https://simplyrest.com/mattress-reviews/ pass=no - Amerisleep AS3 Review: status=200 final=https://simplyrest.com/best-online-mattress/ pass=no
completion_audit	pass	0	C:\Users\ahmed\AppData\Local\Python\pythoncore-3.14-64\python.exe -B C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest_phase1_goal_completion_audit.py --output C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-goal-completion-audit-2026-06-25.tsv --markdown C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-goal-completion-audit-2026-06-25.md	Wrote audit: C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-goal-completion-audit-2026-06-25.tsv and C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-goal-completion-audit-2026-06-25.md. package_ready=0, production_blocked=12, needs_approval=1
deploy_bundle_integrity	fail	127	unzip -t C:\Users\ahmed\OneDrive\Desktop\FACC\simplyrest_work\outputs\simplyrest-phase1-wordpress-deploy-bundle-2026-06-25.zip	command not found: [WinError 2] The system cannot find the file specified
phase_one_live_summary	blocker	1	read simplyrest-phase1-live-qa-report-2026-06-25.tsv	0/5 pages pass; failing=Mattress Lab; How We Test Mattresses; Ferdie Farhad; Mattress Reviews Hub; Amerisleep AS3 Review
retrofit_live_summary	blocker	1	read simplyrest-retrofit-live-qa-report-2026-06-25.tsv	0/122 pages pass; schema_entity_issue_rows=122
completion_audit_summary	blocker	1	read simplyrest-phase1-goal-completion-audit-2026-06-25.tsv	fail=1, needs_approval=1, production_blocked=12
